属性,提及次数,比例
操控,147,23.98042414355628
舒适,95,15.497553017944535
智能,73,11.908646003262643
油耗,72,11.745513866231647
空间,61,9.9510603588907
动力,52,8.482871125611746
安全,48,7.830342577487764
外观,47,7.6672104404567705
内饰,45,7.3409461663947795
服务,45,7.3409461663947795
配置,40,6.525285481239804
价格,37,6.035889070146819
